Name,SailNum,Cty,Total,Net,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze,fleet
Matti MURU,69,CAN,322,255.0,,,33.0,,,33.0,,29.0,,,37.0,,38.0,,,31.0,,,,,16.0,,,26.0,,,29.0,,,19.0,,,26.0,,,5.0,3.0
Campbell PATTON,115,BER,348,269.0,29.0,,,34.0,,,36.0,,,33.0,,,,36.0,,,34.0,,,,7.0,,,25.0,,,25.0,,,43.0,,,27.0,,,19.0,3.0
James JUHASZ,84,CAN,355,269.0,,33.0,,,39.0,,43.0,,,36.0,,,,,39.0,,,26.0,,,43.0,,,17.0,,,18.0,,,9.0,,,22.0,,,30.0,3.0
Alexandre KOWALSKI,114,FRA,346,280.0,,37.0,,,30.0,,,,37.0,,,38.0,28.0,,,33.0,,,,,26.0,,,28.0,,,22.0,,,26.0,,,14.0,,,27.0,3.0
James STEWART,101,AUS,367,288.0,,,36.0,,,25.0,,,35.0,,,19.0,,33.0,,,28.0,,,,43.0,,,19.0,,,28.0,,,15.0,,,43.0,,,43.0,3.0
Martin ARUJA,102,EST,364,293.0,,39.0,,,40.0,,35.0,,,37.0,,,,37.0,,,36.0,,,,27.0,,,31.0,,,20.0,,,30.0,,,15.0,,,17.0,3.0
Thad LETTSOME,103,IVB,380,294.0,35.0,,,35.0,,,31.0,,,43.0,,,,43.0,,,35.0,,,,24.0,,,30.0,,,24.0,,,43.0,,,21.0,,,16.0,3.0
Andrew ROBINSON,126,AUS,376,295.0,,,37.0,,,38.0,37.0,,,38.0,,,,38.0,,,37.0,,,,20.0,,,43.0,,,27.0,,,18.0,,,25.0,,,18.0,3.0
Forrest WACHHOLZ,71,CAN,375,296.0,,31.0,,,32.0,,,36.0,,,36.0,,,,34.0,,,36.0,,,18.0,,,23.0,,,14.0,,,29.0,,,43.0,,,43.0,3.0
Liam BRUCE,65,CAN,366,296.0,,36.0,,,36.0,,,,33.0,,,37.0,,,36.0,,,37.0,,,28.0,,,33.0,,,26.0,,,25.0,,,11.0,,,28.0,3.0
Eroni LEILUA,116,SAM,383,301.0,38.0,,,39.0,,,,,38.0,,,35.0,39.0,,,38.0,,,,,14.0,,,20.0,,,30.0,,,43.0,,,29.0,,,20.0,3.0
William SARGENT,110,AUS,373,302.0,39.0,,,37.0,,,38.0,,,39.0,,,,,38.0,,,39.0,,,22.0,,,27.0,,,32.0,,,22.0,,,18.0,,,22.0,3.0
Seung KIM,123,KOR,392,318.0,36.0,,,38.0,,,,38.0,,,38.0,,35.0,,,39.0,,,,,29.0,,,35.0,,,35.0,,,14.0,,,30.0,,,25.0,3.0
Campbell STEWART,121,AUS,417,342.0,,38.0,,,38.0,,,39.0,,,39.0,,40.0,,,40.0,,,,,35.0,,,29.0,,,31.0,,,20.0,,,34.0,,,34.0,3.0
Agustin VIDAL INCATASCIATO,51,ARG,428,352.0,,,31.0,,,24.0,,33.0,,,27.0,,25.0,,,30.0,,,,,43.0,,,43.0,,,43.0,,,43.0,,,43.0,,,43.0,3.0
Ken FUJIMOTO,118,JPN,440,357.0,,40.0,,,37.0,,,,39.0,,,39.0,,39.0,,,40.0,,,,31.0,,,43.0,,,33.0,,,27.0,,,43.0,,,29.0,3.0
Pietari AIRAKORPI,124,FIN,438,360.0,,41.0,,,33.0,,,,40.0,,,40.0,,,40.0,,,38.0,,,33.0,,,36.0,,,37.0,,,32.0,,,35.0,,,33.0,3.0
Connor SHAW,120,AUS,435,360.0,,,38.0,,,41.0,,41.0,,,40.0,,41.0,,,41.0,,,,,34.0,,,34.0,,,34.0,,,28.0,,,32.0,,,31.0,3.0
Thomas MCEVOY,125,AUS,458,373.0,,,39.0,,,42.0,,,41.0,,,41.0,,,42.0,,,40.0,,,36.0,,,43.0,,,36.0,,,33.0,,,33.0,,,32.0,3.0
Teariki NUMA,119,PNG,462,378.0,,,40.0,,,40.0,,40.0,,,41.0,,,,41.0,,,41.0,,,37.0,,,37.0,,,43.0,,,31.0,,,36.0,,,35.0,3.0
Stephen GUNTHER,122,AUS,481,395.0,40.0,,,40.0,,,39.0,,,43.0,,,,40.0,,,43.0,,,,32.0,,,32.0,,,43.0,,,43.0,,,43.0,,,43.0,3.0
Guillermo FLORES MARTIN,88,ESP,133,,,,,,,,,,,,,,,,,,,,,,25.0,,,22.0,,,2.0,,,17.0,,,24.0,,,43.0,3.0
