,Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,Club,Boat Type,Hdcp.,CDL,T,N,Sailed Time,Sailed Time.1,Sailed Time.2,Sailed Time.3,Sailed Time.4,Sailed Time.5,Sailed Time.6,Sailed Time.7,Sailed Time.8,Sailed Time.9,Calculated Time,Calculated Time.1,Calculated Time.2,Calculated Time.3,Calculated Time.4,Calculated Time.5,Calculated Time.6,Calculated Time.7,Calculated Time.8,Calculated Time.9,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,M1,Q1Q2Q3Q4Q5Q6F1F2F3M1,Unnamed: 42
84,43.0,,AUS 211543  D. SELF,Daniel SELF  Sail27  Daniel SELF  Sail27,AUS  RQYS,,,,,209.0,164.0,,,,,,,,,,,,,,,,,,,,,12.0,14.0,10.0,14.0,15.0,26.0,32.0,41.0,(45.0)  BFD,,12.0  14.0  10.0  14.0  15.0  26.0  32.0  41.0  (45.0)  BFD,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,44.0,,GBR 211110  J. COOKSON,Jack COOKSON  Jack COOKSON,GBR  WPNSA,,,,,211.0,165.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,22.0,12.0,6.0,13.0,9.0,30.0,28.0,45.0  BFD,,(46.0)  BFD  22.0  12.0  6.0  13.0  9.0  30.0  28.0  45.0  BFD,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,45.0,,LTU 210163  K. JANULIONIS,Karolis Janulionis  Karolis JANULIONIS,LTU  BNGBangputys,X-35,,,,96.0,80.0,,,,,,,,,,,,,,,,,,,,,13.0,15.0,14.0,(16.0),15.0,11.0,10.0,1.0,1.0,,13.0  15.0  14.0  (16.0)  15.0  11.0  10.0  1.0  1.0,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,46.0,,GER 207181  T. BAUER,Theodor BAUER  GLASHÄGER LIROS ADIDAS SAILING  Theodor BAUER  GLASHÄGER LIROS ADIDAS SAILING,"GER  RSVMRöbeler Segler-Verein ""Müritz"" e. V.",,,,,131.0,85.0,,,,,,,,,,,,,,,,,,,,,7.0,(46.0)  DNC,19.0,11.0,16.0,17.0,2.0,3.0,10.0,,7.0  (46.0)  DNC  19.0  11.0  16.0  17.0  2.0  3.0  10.0,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,47.0,,ARG 211983  J.P. BISIO,Juan Pablo BISIO  delfindelmundo  Juan Pablo BISIO  delfindelmundo,ARG  YCR,,,,,136.0,100.0,,,,,,,,,,,,,,,,,,,,,26.0,(36.0),26.0,9.0,18.0,16.0,1.0,2.0,2.0,,26.0  (36.0)  26.0  9.0  18.0  16.0  1.0  2.0  2.0,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,48.0,,ITA 210766  N. VILLA,nicolo VILLA  Nicolo VILLA,ITA  CircoloVelicoTivano,,,,,149.0,103.0,,,,,,,,,,,,,,,,,,,,,10.0,(46.0)  DNC,15.0,22.0,14.0,29.0,5.0,5.0,3.0,,10.0  (46.0)  DNC  15.0  22.0  14.0  29.0  5.0  5.0  3.0,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,49.0,,LTU 210951  M. PAJARSKAS,Martis PAJARSKAS  LBS/ LOSC  Martis PAJARSKAS  LBS/ LOSC,LTU  Bangputys,,,,,132.0,112.0,,,,,,,,,,,,,,,,,,,,,16.0,12.0,19.0,10.0,(20.0),11.0,16.0,19.0,9.0,,16.0  12.0  19.0  10.0  (20.0)  11.0  16.0  19.0  9.0,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,50.0,,GER 207182  M. WILKEN,Max WILKEN  Max WILKEN,"GER  RSVMRöbeler Segler-Verein ""Müritz"" e. V.",,,,,159.0,114.0,,,,,,,,,,,,,,,,,,,,,4.0,15.0,15.0,19.0,17.0,19.0,11.0,14.0,(45.0)  BFD,,4.0  15.0  15.0  19.0  17.0  19.0  11.0  14.0  (45.0)  BFD,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,51.0,,ISR 211955  S. GLANTZ,sagie GLANTZ  Sagie GLANTZ,ISR  Haifa SC,,,,,142.0,116.0,,,,,,,,,,,,,,,,,,,,,22.0,17.0,20.0,(26.0),14.0,20.0,7.0  DPI,7.0  DPI,9.0  DPI,,22.0  17.0  20.0  (26.0)  14.0  20.0  7.0  DPI  7.0  DPI  9.0  DPI,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,52.0,,SWE 195041  A. GIPPERTH,Albin GIPPERTH  Blixten  Albin GIPPERTH  Blixten,SWE  GKSSGöteborgs Kungliga Segelsällskap,,,,,162.0,117.0,,,,,,,,,,,,,,,,,,,,,34.0,24.0,16.0,12.0,11.0,(45.0)  DNC,7.0,8.0,5.0,,34.0  24.0  16.0  12.0  11.0  (45.0)  DNC  7.0  8.0  5.0,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,53.0,,GER 208347  P. LOEWE,Philipp Loewe  Philipp LOEWE,GER  VSAWVerein Seglerhaus am Wannsee,,,,,150.0,125.0,,,,,,,,,,,,,,,,,,,,,(25.0),22.0,14.0,16.0,24.0,15.0,13.0,10.0,11.0,,(25.0)  22.0  14.0  16.0  24.0  15.0  13.0  10.0  11.0,
