Name,SailNum,Cty,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze
Jeemin HA,48,KOR,16.0,,,12.0,,,,25.0,,,10.0,,,9.0,,,15.0,,9.0,,,21.0,,,29.0,,,21.0,,,4.0,,,13.0,,
Seung KIM,123,KOR,36.0,,,38.0,,,,38.0,,,38.0,,35.0,,,39.0,,,,,29.0,,,35.0,,,35.0,,,14.0,,,30.0,,,25.0
Khairulnizam MOHD AFENDY,50,MAS,,23.0,,,23.0,,,,20.0,,,26.0,18.0,,,18.0,,,,8.0,,,13.0,,,10.0,,,16.0,,,12.0,,,5.0,
Milivoj DUKIC,75,MNE,,22.0,,,16.0,,8.0,,,9.0,,,17.0,,,21.0,,,,43.0,,,1.0,,,2.0,,,1.0,,,21.0,,,2.0,
Duko BOS,43,NED,9.0,,,2.0,,,14.0,,,7.0,,,,,19.0,,,6.0,21.0,,,19.0,,,8.0,,,7.0,,,26.0,,,16.0,,
Marnix BOS,87,NED,,17.0,,,34.0,,,,24.0,,,31.0,23.0,,,26.0,,,,7.0,,,30.0,,,43.0,,,28.0,,,31.0,,,30.0,
Stijn PAARDEKOOPER,94,NED,,,28.0,,,36.0,,,36.0,,,32.0,30.0,,,34.0,,,,,17.0,,,3.0,,,5.0,,,5.0,,,16.0,,,8.0
Rutger VAN SCHAARDENBURG,112,NED,,,11.0,,,2.0,,,3.0,,,3.0,6.0,,,7.0,,,35.0,,,20.0,,,13.0,,,20.0,,,8.0,,,43.0,,
Hermann TOMASGAARD,6,NOR,11.0,,,11.0,,,,,7.0,,,11.0,3.0,,,6.0,,,1.0,,,5.0,,,9.0,,,15.0,,,35.0,,,3.0,,
Sam MEECH,3,NZL,,,5.0,,,5.0,,5.0,,,5.0,,,1.0,,,10.0,,14.0,,,6.0,,,10.0,,,18.0,,,17.0,,,26.0,,
Thomas SAUNDERS,12,NZL,3.0,,,9.0,,,4.0,,,3.0,,,,,2.0,,,11.0,16.0,,,7.0,,,40.0,,,37.0,,,6.0,,,43.0,,
George GAUTREY,25,NZL,18.0,,,14.0,,,3.0,,,8.0,,,,,15.0,,,12.0,5.0,,,12.0,,,31.0,,,23.0,,,27.0,,,34.0,,
Josh ARMIT,77,NZL,,,8.0,,,21.0,12.0,,,22.0,,,21.0,,,19.0,,,,30.0,,,37.0,,,24.0,,,37.0,,,37.0,,,43.0,
Luke DEEGAN,98,NZL,32.0,,,32.0,,,,,29.0,,,24.0,,31.0,,,27.0,,,,23.0,,,21.0,,,8.0,,,10.0,,,9.0,,,43.0
Stefano PESCHIERA,8,PER,,6.0,,,11.0,,,18.0,,,9.0,,11.0,,,16.0,,,28.0,,,38.0,,,21.0,,,13.0,,,43.0,,,30.0,,
Teariki NUMA,119,PNG,,,40.0,,,40.0,,40.0,,,41.0,,,,41.0,,,41.0,,,37.0,,,37.0,,,43.0,,,31.0,,,36.0,,,35.0
Tadeusz KUBIAK,38,POL,,8.0,,,1.0,,13.0,,,17.0,,,,,17.0,,,25.0,26.0,,,14.0,,,41.0,,,34.0,,,39.0,,,37.0,,
Jakub RODZIEWICZ,49,POL,14.0,,,21.0,,,,14.0,,,12.0,,,19.0,,,30.0,,,3.0,,,5.0,,,19.0,,,9.0,,,6.0,,,1.0,
Santiago SAMPAIO,68,POR,,32.0,,,24.0,,10.0,,,19.0,,,,15.0,,,16.0,,,43.0,,,4.0,,,17.0,,,17.0,,,20.0,,,43.0,
Sergei KOMISSAROV,22,RUS,,,17.0,,,9.0,6.0,,,6.0,,,,,14.0,,,2.0,40.0,,,18.0,,,6.0,,,16.0,,,32.0,,,29.0,,
Maxim NIKOLAEV,55,RUS,21.0,,,6.0,,,,,4.0,,,8.0,,11.0,,,4.0,,24.0,,,25.0,,,24.0,,,38.0,,,20.0,,,17.0,,
Daniil KRUTSKIKH,56,RUS,,39.0,,,18.0,,,,21.0,,,16.0,,21.0,,,24.0,,,29.0,,,34.0,,,7.0,,,2.0,,,15.0,,,11.0,
Eroni LEILUA,116,SAM,38.0,,,39.0,,,,,38.0,,,35.0,39.0,,,38.0,,,,,14.0,,,20.0,,,30.0,,,43.0,,,29.0,,,20.0
Ryan LO,39,SGP,,,23.0,,,29.0,,11.0,,,11.0,,,,1.0,,,18.0,25.0,,,26.0,,,26.0,,,36.0,,,40.0,,,28.0,,
Mark WONG,97,SGP,25.0,,,27.0,,,,32.0,,,32.0,,33.0,,,35.0,,,,,15.0,,,12.0,,,21.0,,,43.0,,,13.0,,,14.0
Eliot MERCERON,35,SUI,,21.0,,,6.0,,,7.0,,,17.0,,,,16.0,,,17.0,31.0,,,31.0,,,42.0,,,30.0,,,31.0,,,22.0,,
Nicolas ROLAZ,83,SUI,,,24.0,,,31.0,43.0,,,16.0,,,,25.0,,,29.0,,,28.0,,,19.0,,,16.0,,,7.0,,,7.0,,,7.0,
Jesper STALHEIM,7,SWE,8.0,,,5.0,,,,4.0,,,6.0,,5.0,,,8.0,,,10.0,,,22.0,,,1.0,,,8.0,,,25.0,,,24.0,,
Wilhelm KARK,52,SWE,,,25.0,,,32.0,,31.0,,,34.0,,,,25.0,,,43.0,,,8.0,,,4.0,,,43.0,,,2.0,,,2.0,,,21.0
Emil BENGTSON,64,SWE,,,27.0,,,12.0,29.0,,,13.0,,,,,23.0,,,30.0,,16.0,,,6.0,,,35.0,,,11.0,,,22.0,,,6.0,
Keerati BUALONG,90,THA,,10.0,,,43.0,,,20.0,,,26.0,,,,28.0,,,35.0,,11.0,,,43.0,,,37.0,,,34.0,,,36.0,,,43.0,
Arthit Mikhail ROMANYK,99,THA,,27.0,,,19.0,,,,28.0,,,28.0,,,30.0,,,33.0,,,2.0,,,7.0,,,4.0,,,43.0,,,6.0,,,4.0
Alp Rona RODOPMAN,45,TUR,,,22.0,,,20.0,32.0,,,34.0,,,,,21.0,,,16.0,,43.0,,,22.0,,,14.0,,,15.0,,,9.0,,,15.0,
Berkay ABAY,78,TUR,,18.0,,,35.0,,26.0,,,18.0,,,,26.0,,,18.0,,,15.0,,,35.0,,,20.0,,,38.0,,,27.0,,,17.0,
Yigit Yalcin CITAK,109,TUR,20.0,,,33.0,,,30.0,,,24.0,,,,30.0,,,31.0,,,,9.0,,,1.0,,,10.0,,,13.0,,,5.0,,,11.0
Charlie BUCKINGHAM,10,USA,,,12.0,,,4.0,,17.0,,,3.0,,15.0,,,17.0,,,13.0,,,36.0,,,33.0,,,9.0,,,2.0,,,12.0,,
Christopher BARNARD,29,USA,,9.0,,,10.0,,,,5.0,,,18.0,,,10.0,,,9.0,7.0,,,23.0,,,28.0,,,33.0,,,38.0,,,18.0,,
Leo BOUCHER,86,USA,37.0,,,29.0,,,33.0,,,35.0,,,,,33.0,,,34.0,,,6.0,,,10.0,,,12.0,,,16.0,,,31.0,,,3.0
