,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net,QR1_blue,QR1_yellow,QR2_blue,QR2_yellow,QR3_yellow,QR4_yellow,QR5_yellow,QR6_yellow,QR3_blue,QR4_blue,QR5_blue,QR6_blue,FR7_gold,FR_medal,FR7_silver,FR8_silver,,
90,USA,USA 199796,Malcolm Lamphere,32,31,24,42,39,(57)DNC,36,292,235,,32,,31,24,42,39,57DNC,,,,,,,36,31,235,FALSE
91,HKG,HKG 171979,Hong Kong,(57)DNC,49,39,33,47,23,18,306,249,,57DNC,,49,39,33,47,23,,,,,,,18,40,249,FALSE
92,BUL,BUL 213486,Ivo Todorov,39,(52),51,35,52,7,20,301,249,39,,52,,,,52,7,51,35,,,,,20,45,301,TRUE
93,CAN,CAN 212612,Justin Norton,47,34,(50),49,40,12,21,299,249,,47,,34,50,49,,,,,40,12,,,21,46,299,TRUE
94,CAN,CAN 214514,Luke Ruitenberg,(49),44,48,24,37,44,6,301,252,49,,44,,,,37,44,48,24,,,,,6,49,301,TRUE
95,USA,USA 211822,Paul Didham,(51),44,44,47,22,48,27,305,254,,51,,44,44,47,,,,,22,48,,,27,22,305,TRUE
96,ESP,ESP 213859,Mario Plomer Quiroga,45,42,36,43,45,45,(48),310,262,45,,42,,,,45,45,36,43,,,,,48,6,310,TRUE
97,ARG,ARG 199218,Juan Alberto Casalone,46,47,51,15,50,(57)DNC,19,327,270,,46,,47,51,15,,,,,50,57DNC,,,19,42,270,FALSE
98,EST,EST 212229,Georg Haud,(53),37,38,45,21,43,35,323,270,53,,37,,,,21,43,38,45,,,,,35,51,323,TRUE
99,JPN,JPN 211154,Yuichiro Kitamura,37,38,(49),48,36,40,39,323,274,,37,,38,49,48,,,,,36,40,,,39,36,323,TRUE
100,MEX,MEX 181615,Juan Ignacio Perez,(54),40,42,53,42,47,15,332,278,54,,40,,,,42,47,42,53,,,,,15,39,332,TRUE
101,GRE,GRE 210400,Marios Karadimas,50,50,(54),30,42,31,42,332,278,,50,,50,54,30,,,,,42,31,,,42,33,332,TRUE
102,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,45,52,(53),46,32,28,49,346,293,,45,,52,53,46,32,28,,,,,,,49,41,346,TRUE
103,SGP,SGP 199094,Mark Wong,43,51,39,48,41,46,(54),348,294,43,,51,,,,,,39,48,41,46,,,54,26,348,TRUE
104,ITA,ITA 215275,Andrea Ribolzi,35,48,43,50,49,39,43,363,307,,35,,48,43,50,,,,,49,39,,,43,56DNF,307,FALSE
105,EST,EST 212230,Martin Aruja,44,45,46,(51),48,38,44,359,308,,44,,45,46,51,,,,,48,38,,,44,43,359,TRUE
106,GBR,GBR 211414,Cameron Tweedle,42,(53),52,52,29,36,52,364,311,,42,,53,52,52,,,,,29,36,,,52,48,364,TRUE
107,ITA,ITA 207626,AMOS DI BENEDETTO,(52),50,50,52,44,47,28,373,321,52,,50,,,,,,50,52,44,47,,,28,50,373,TRUE
108,GBR,GBR 211726,Benjamin Flowerr,(56),41,41,47,49,52,45,378,322,56,,41,,,,49,52,41,47,,,,,45,47,378,TRUE
109,ITA,ITA 212295,Andrea Chiappe,49,46,47,(53),50,46,51,376,323,,49,,46,47,53,50,46,,,,,,,51,34,376,TRUE
110,ITA,ITA 211062,Pietro De Frenza,48,48,49,50,(54),54,53,400,346,48,,48,,,,54,54,49,50,,,,,53,44,400,TRUE
